FQDN System Name,IP Address,Network,Network Range,Broadcast Address,VLAN,VLAN number,Physical System,Logical Net,Logical Interface,Network Scope,TOR switch used
aztecz1.filer.z1.tdn.hzl.ilx.com,10.181.194.32/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,aztecserverz1,PROD,PRODHYPER,Business Site,YES
aztecz1.idcm.z1.tdn.hzl.ilx.com,10.179.0.59/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,aztecserverz1,PROD,PRODHYPER,Business Site,YES
aztecz1.main.z1.tdn.hzl.ilx.com,10.181.192.59/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,aztecserverz1,PROD,PRODHYPER,Business Site,YES
aztecz1.out.z1.tdn.hzl.ilx.com,10.53.22.59/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,aztecserverz1,PROD,PRODHYPER,Business Site,YES
baffyz1.a.arbi10.z1.tdn.hzl.ilx.com,10.179.4.199/27,A.ARBI10,10.179.4.192/27,10.179.4.223,HZL-COLO-MCE1-ARBI1-2,1702,itcfepcz1a,ARBI10,ARBI10,Business Silo,
baffyz1.a1.etg.z1.tdn.hzl.ilx.com,10.110.15.133/25,A1.ETG,10.110.15.128/25,10.110.15.255,PROD_ERB-Hash-LAN-A,815,itcfepcz1a,ETG,ETG,Business Site,
baffyz1.b1.etg.z1.tdn.hzl.ilx.com,10.110.16.133/25,B1.ETG,10.110.16.128/25,10.110.16.255,PROD_ERB-Hash-LAN-B,816,itcfepcz1a,ETG,ETG,Business Site,
baffyz1.filer.z1.tdn.hzl.ilx.com,10.181.194.34/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,itcfepcz1a,PROD,PRODHYPER,Business Site,YES
baffyz1.gtdl.z1.tdn.hzl.ilx.com,10.179.3.19/26,GTDL,10.179.3.0/26,10.179.3.63,HZL-COLO-MCE1-GTDL-1,1802,itcfepcz1a,GTDL,GTDL,Business Site,
baffyz1.idcm.z1.tdn.hzl.ilx.com,10.179.0.61/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,itcfepcz1a,PROD,PRODHYPER,Business Site,YES
baffyz1.log.z1.tdn.hzl.ilx.com,10.179.3.74/26,LOG,10.179.3.64/26,10.179.3.127,HZL-COLO-MCE1-LOG1-1,1803,itcfepcz1a,LOG,LOG,Business Silo,
baffyz1.main.z1.tdn.hzl.ilx.com,10.181.192.61/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,itcfepcz1a,PROD,PRODHYPER,Business Site,YES
baffyz1.out.z1.tdn.hzl.ilx.com,10.53.22.61/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,itcfepcz1a,PROD,PRODHYPER,Business Site,YES
blondz1.idcm.z1.tdn.hzl.ilx.com,10.179.0.63/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,tdngatez1,PROD,PRODPDNHYPER,Business Site,YES
blondz1.main.z1.tdn.hzl.ilx.com,10.181.192.63/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,tdngatez1,PROD,PRODPDNHYPER,Business Site,YES
blondz1.out.z1.tdn.hzl.ilx.com,10.53.22.63/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,tdngatez1,PROD,PRODPDNHYPER,Business Site,YES
blondz1.sec1.z1.tdn.hzl.ilx.com,162.8.96.38/27,SEC1,162.8.96.32/27,162.8.96.63,HDC-SECURE-LAN,2244,tdngatez1,NETCOMMS,PRODPDNHYPER,Business Site,YES
brassiez1.a.arbi10.z1.tdn.hzl.ilx.com,10.179.4.200/27,A.ARBI10,10.179.4.192/27,10.179.4.223,HZL-COLO-MCE1-ARBI1-2,1702,itcfepcz1a,ARBI10,ARBI10,Business Silo,
brassiez1.a1.etg.z1.tdn.hzl.ilx.com,10.110.15.135/25,A1.ETG,10.110.15.128/25,10.110.15.255,PROD_ERB-Hash-LAN-A,815,itcfepcz1a,ETG,ETG,Business Site,
brassiez1.b1.etg.z1.tdn.hzl.ilx.com,10.110.16.135/25,B1.ETG,10.110.16.128/25,10.110.16.255,PROD_ERB-Hash-LAN-B,816,itcfepcz1a,ETG,ETG,Business Site,
brassiez1.filer.z1.tdn.hzl.ilx.com,10.181.194.36/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,itcfepcz1a,PROD,PRODHYPER,Business Site,YES
brassiez1.gtdl.z1.tdn.hzl.ilx.com,10.179.3.21/26,GTDL,10.179.3.0/26,10.179.3.63,HZL-COLO-MCE1-GTDL-1,1802,itcfepcz1a,GTDL,GTDL,Business Site,
brassiez1.idcm.z1.tdn.hzl.ilx.com,10.179.0.64/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,itcfepcz1a,PROD,PRODHYPER,Business Site,YES
brassiez1.log.z1.tdn.hzl.ilx.com,10.179.3.75/26,LOG,10.179.3.64/26,10.179.3.127,HZL-COLO-MCE1-LOG1-1,1803,itcfepcz1a,LOG,LOG,Business Silo,
brassiez1.main.z1.tdn.hzl.ilx.com,10.181.192.64/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,itcfepcz1a,PROD,PRODHYPER,Business Site,YES
brassiez1.out.z1.tdn.hzl.ilx.com,10.53.22.64/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,itcfepcz1a,PROD,PRODHYPER,Business Site,YES
bsdsrvz1.apphost.z1.tdn.hzl.ilx.com,162.8.248.5/27,APPHOST,162.8.248.0/27,162.8.248.31,HDC-APPHOST-LAN,2247,netsrvz1,NETCOMMS,PRODPDNHYPER,Business Site,YES
bsdsrvz1.filer.z1.tdn.hzl.ilx.com,10.181.194.38/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,netsrvz1,PROD,PRODPDNHYPER,Business Site,YES
bsdsrvz1.idcm.z1.tdn.hzl.ilx.com,10.179.0.66/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,netsrvz1,PROD,PRODPDNHYPER,Business Site,YES
bsdsrvz1.main.z1.tdn.hzl.ilx.com,10.181.192.66/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,netsrvz1,PROD,PRODPDNHYPER,Business Site,YES
bsdsrvz1.out.z1.tdn.hzl.ilx.com,10.53.22.66/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,netsrvz1,PROD,PRODPDNHYPER,Business Site,YES
bunkerz1.a.arbi10.z1.tdn.hzl.ilx.com,10.179.4.201/27,A.ARBI10,10.179.4.192/27,10.179.4.223,HZL-COLO-MCE1-ARBI1-2,1702,itcfepcz1b,ARBI10,ARBI10,Business Silo,
bunkerz1.a1.etg.z1.tdn.hzl.ilx.com,10.110.15.137/25,A1.ETG,10.110.15.128/25,10.110.15.255,PROD_ERB-Hash-LAN-A,815,itcfepcz1b,ETG,ETG,Business Site,
bunkerz1.b1.etg.z1.tdn.hzl.ilx.com,10.110.16.137/25,B1.ETG,10.110.16.128/25,10.110.16.255,PROD_ERB-Hash-LAN-B,816,itcfepcz1b,ETG,ETG,Business Site,
bunkerz1.filer.z1.tdn.hzl.ilx.com,10.181.194.40/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,itcfepcz1b,PROD,PRODHYPER,Business Site,YES
bunkerz1.gtdl.z1.tdn.hzl.ilx.com,10.179.3.23/26,GTDL,10.179.3.0/26,10.179.3.63,HZL-COLO-MCE1-GTDL-1,1802,itcfepcz1b,GTDL,GTDL,Business Site,
bunkerz1.idcm.z1.tdn.hzl.ilx.com,10.179.0.68/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,itcfepcz1b,PROD,PRODHYPER,Business Site,YES
bunkerz1.log.z1.tdn.hzl.ilx.com,10.179.3.76/26,LOG,10.179.3.64/26,10.179.3.127,HZL-COLO-MCE1-LOG1-1,1803,itcfepcz1b,LOG,LOG,Business Silo,
bunkerz1.main.z1.tdn.hzl.ilx.com,10.181.192.68/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,itcfepcz1b,PROD,PRODHYPER,Business Site,YES
bunkerz1.out.z1.tdn.hzl.ilx.com,10.53.22.68/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,itcfepcz1b,PROD,PRODHYPER,Business Site,YES
celtz1.filer.z1.tdn.hzl.ilx.com,10.181.194.42/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,celtserverz1,PROD,PRODHYPER,Business Site,YES
celtz1.idcm.z1.tdn.hzl.ilx.com,10.179.0.70/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,celtserverz1,PROD,PRODHYPER,Business Site,YES
celtz1.main.z1.tdn.hzl.ilx.com,10.181.192.70/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,celtserverz1,PROD,PRODHYPER,Business Site,YES
celtz1.out.z1.tdn.hzl.ilx.com,10.53.22.70/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,celtserverz1,PROD,PRODHYPER,Business Site,YES
cmefepz1.a1.exch.z1.tdn.hzl.ilx.com,159.44.249.1/26,A1.EXCH,159.44.249.0/26,159.44.249.63,HZL-COLO-MCE1-EXCHANGEA-1,1501,dtpfepcz1a,EXCH,EXCH,Business Site,
cmefepz1.a2.exch.z1.tdn.hzl.ilx.com,159.44.249.2/26,A2.EXCH,159.44.249.0/26,159.44.249.63,HZL-COLO-MCE1-EXCHANGEA-1,1501,dtpfepcz1a,EXCH,EXCH,Business Site,
cmefepz1.b1.exch.z1.tdn.hzl.ilx.com,159.44.253.1/26,B1.EXCH,159.44.253.0/26,159.44.253.63,HZL-COLO-MCE1-EXCHANGEB-1,1601,dtpfepcz1a,EXCH,EXCH,Business Site,
cmefepz1.b2.exch.z1.tdn.hzl.ilx.com,159.44.253.2/26,B2.EXCH,159.44.253.0/26,159.44.253.63,HZL-COLO-MCE1-EXCHANGEB-1,1601,dtpfepcz1a,EXCH,EXCH,Business Site,
cmefepz1.feed.z1.tdn.hzl.ilx.com,10.179.2.1/25,FEED,10.179.2.0/25,10.179.2.127,HZL-COLO-MCE1-FEED-1,1800,dtpfepcz1a,FEED,FEED,Business Site,
cmefepz1.fepc.z1.tdn.hzl.ilx.com,10.179.2.132/25,FEPC,10.179.2.128/25,10.179.2.255,HZL-COLO-MCE1-FEPC-1,1801,dtpfepcz1a,FEPC,FEPC,Business Site,
cmefepz1.idcm.z1.tdn.hzl.ilx.com,10.179.0.71/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,dtpfepcz1a,PROD,PRODHYPER,Business Site,YES
cmefepz1.main.z1.tdn.hzl.ilx.com,10.181.192.71/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,dtpfepcz1a,PROD,PRODHYPER,Business Site,YES
cmefepz1.out.z1.tdn.hzl.ilx.com,10.53.22.71/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,dtpfepcz1a,PROD,PRODHYPER,Business Site,YES
dpfunz1.a.sitetkr.z1.tdn.hzl.ilx.com,10.179.5.102/27,A.SITETKR,10.179.4.96/27,10.179.4.127,HZL-COLO-MCE1-UP4TKR1-2,1512,pfunz1,TKR,TKR,Business Site,
dpfunz1.b.sitetkr.z1.tdn.hzl.ilx.com,10.179.5.166/27,B.SITETKR,10.179.4.160/27,10.179.4.191,HZL-COLO-MCE1-UP4TKR2-2,1612,pfunz1,TKR,TKR,Business Site,
dpfunz1.filer.z1.tdn.hzl.ilx.com,10.181.194.43/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,pfunz1,PROD,PRODHYPER,Business Site,YES
dpfunz1.fundist1.z1.tdn.hzl.ilx.com,162.8.205.1/27,FUNDIST1,162.8.205.0/27,162.8.205.31,HZL-COLO-MCE1-FUNDIST1-1,258,pfunz1,FUNDIST,FUNDIST,Business Product,
dpfunz1.fundist2.z1.tdn.hzl.ilx.com,162.8.253.225/27,FUNDIST2,162.8.253.224/27,162.8.253.255,HZL-COLO-MCE1-FUNDIST2-1,13,pfunz1,FUNDIST,FUNDIST,Business Product,
dpfunz1.funmcast1.z1.tdn.hzl.ilx.com,162.8.200.1/27,FUNMCAST1,162.8.200.0/27,162.8.200.31,HZL-COLO-MCE1-FUNMCAST1-1,258,pfunz1,FUNDIST,FUNDIST,Business Product,
dpfunz1.funmcast2.z1.tdn.hzl.ilx.com,162.8.201.1/27,FUNMCAST2,162.8.201.0/27,162.8.201.31,HZL-COLO-MCE1-FUNMCAST2-1,13,pfunz1,FUNDIST,FUNDIST,Business Product,
dpfunz1.idcm.z1.tdn.hzl.ilx.com,10.179.0.73/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,pfunz1,PROD,PRODHYPER,Business Site,YES
dpfunz1.main.z1.tdn.hzl.ilx.com,10.181.192.73/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,pfunz1,PROD,PRODHYPER,Business Site,YES
dpfunz1.out.z1.tdn.hzl.ilx.com,10.53.22.73/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,pfunz1,PROD,PRODHYPER,Business Site,YES
dpfunz1.tpfun.z1.tdn.hzl.ilx.com,10.179.3.209/26,TPFUN,10.179.3.192/26,10.179.3.255,HZL-COLO-MCE1-TPFUN-1,1805,pfunz1,TPFUN,TPFUN,Business Site,
dpfunz3.a.sitetkr.z1.tdn.hzl.ilx.com,10.179.4.112/27,A.SITETKR,10.179.4.96/27,10.179.4.127,HZL-COLO-MCE1-UP4TKR1-2,1512,pfunz3,TKR,TKR,Business Site,
dpfunz3.b.sitetkr.z1.tdn.hzl.ilx.com,10.179.4.176/27,B.SITETKR,10.179.4.160/27,10.179.4.191,HZL-COLO-MCE1-UP4TKR2-2,1612,pfunz3,TKR,TKR,Business Site,
dpfunz3.filer.z1.tdn.hzl.ilx.com,10.181.194.45/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,pfunz3,PROD,PRODHYPER,Business Site,YES
dpfunz3.fundist1.z1.tdn.hzl.ilx.com,162.8.205.11/27,FUNDIST1,162.8.205.0/27,162.8.205.31,HZL-COLO-MCE1-FUNDIST1-1,258,pfunz3,FUNDIST,FUNDIST,Business Product,
dpfunz3.fundist2.z1.tdn.hzl.ilx.com,162.8.253.251/27,FUNDIST2,162.8.253.224/27,162.8.253.255,HZL-COLO-MCE1-FUNDIST2-1,13,pfunz3,FUNDIST,FUNDIST,Business Product,
dpfunz3.funmcast1.z1.tdn.hzl.ilx.com,162.8.200.11/27,FUNMCAST1,162.8.200.0/27,162.8.200.31,HZL-COLO-MCE1-FUNMCAST1-1,258,pfunz3,FUNDIST,FUNDIST,Business Product,
dpfunz3.funmcast2.z1.tdn.hzl.ilx.com,162.8.201.11/27,FUNMCAST2,162.8.201.0/27,162.8.201.31,HZL-COLO-MCE1-FUNMCAST2-1,13,pfunz3,FUNDIST,FUNDIST,Business Product,
dpfunz3.idcm.z1.tdn.hzl.ilx.com,10.179.0.75/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,pfunz3,PROD,PRODHYPER,Business Site,YES
dpfunz3.main.z1.tdn.hzl.ilx.com,10.181.192.75/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,pfunz3,PROD,PRODHYPER,Business Site,YES
dpfunz3.out.z1.tdn.hzl.ilx.com,10.53.22.75/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,pfunz3,PROD,PRODHYPER,Business Site,YES
dpfunz3.tpfun.z1.tdn.hzl.ilx.com,10.179.3.211/26,TPFUN,10.179.3.192/26,10.179.3.255,HZL-COLO-MCE1-TPFUN-1,1805,pfunz3,TPFUN,TPFUN,Business Site,
ecntpz1.a.arbi40.z1.tdn.hzl.ilx.com,10.179.4.4/27,A.ARBI40,10.179.4.0/27,10.179.4.31,HZL-COLO-MCE1-ARBI1-1,1700,bookz1,ARBI40,ARBI40,Business Silo,
ecntpz1.feed.z1.tdn.hzl.ilx.com,10.179.2.3/25,FEED,10.179.2.0/25,10.179.2.127,HZL-COLO-MCE1-FEED-1,1800,bookz1,FEED,FEED,Business Site,
ecntpz1.filer.z1.tdn.hzl.ilx.com,10.181.194.46/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,bookz1,PROD,PRODHYPER,Business Site,YES
ecntpz1.idcm.z1.tdn.hzl.ilx.com,10.179.0.76/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,bookz1,PROD,PRODHYPER,Business Site,YES
ecntpz1.main.z1.tdn.hzl.ilx.com,10.181.192.76/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,bookz1,PROD,PRODHYPER,Business Site,YES
ecntpz1.out.z1.tdn.hzl.ilx.com,10.53.22.76/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,bookz1,PROD,PRODHYPER,Business Site,YES
ecnz1.a1.exch.z1.tdn.hzl.ilx.com,159.44.249.5/26,A1.EXCH,159.44.249.0/26,159.44.249.63,HZL-COLO-MCE1-EXCHANGEA-1,1501,dtpfepcz1a,EXCH,EXCH,Business Site,
ecnz1.a2.exch.z1.tdn.hzl.ilx.com,159.44.249.6/26,A2.EXCH,159.44.249.0/26,159.44.249.63,HZL-COLO-MCE1-EXCHANGEA-1,1501,dtpfepcz1a,EXCH,EXCH,Business Site,
ecnz1.b1.exch.z1.tdn.hzl.ilx.com,159.44.253.5/26,B1.EXCH,159.44.253.0/26,159.44.253.63,HZL-COLO-MCE1-EXCHANGEB-1,1601,dtpfepcz1a,EXCH,EXCH,Business Site,
ecnz1.b2.exch.z1.tdn.hzl.ilx.com,159.44.253.6/26,B2.EXCH,159.44.253.0/26,159.44.253.63,HZL-COLO-MCE1-EXCHANGEB-1,1601,dtpfepcz1a,EXCH,EXCH,Business Site,
ecnz1.feed.z1.tdn.hzl.ilx.com,10.179.2.5/25,FEED,10.179.2.0/25,10.179.2.127,HZL-COLO-MCE1-FEED-1,1800,dtpfepcz1a,FEED,FEED,Business Site,
ecnz1.fepc.z1.tdn.hzl.ilx.com,10.179.2.134/25,FEPC,10.179.2.128/25,10.179.2.255,HZL-COLO-MCE1-FEPC-1,1801,dtpfepcz1a,FEPC,FEPC,Business Site,
ecnz1.idcm.z1.tdn.hzl.ilx.com,10.179.0.78/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,dtpfepcz1a,PROD,PRODHYPER,Business Site,YES
ecnz1.main.z1.tdn.hzl.ilx.com,10.181.192.78/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,dtpfepcz1a,PROD,PRODHYPER,Business Site,YES
ecnz1.out.z1.tdn.hzl.ilx.com,10.53.22.78/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,dtpfepcz1a,PROD,PRODHYPER,Business Site,YES
excresz1.filer.z1.tdn.hzl.ilx.com,10.181.194.48/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,tdneodz1,PROD,PRODHYPER,Business Site,YES
