System Name,Model Name,Serial Number,Cabinet Name,System Port Name,Switch Name,Switch Cabinet Name,Switch Port Name,Logical Net Group,Port Speed
airstreamq1,X5-2L,1523NM5022,hzl-b1_01 cf006 (HZL-Q1-A3),Slot 3 port 1,HZL-COLO-NONPTDNDH1-SWA1,HZL-Q1-A1,E1/12,EXTHYPER,10Gb
airstreamq1,X5-2L,1523NM5022,hzl-b1_01 cf006 (HZL-Q1-A3),Slot 3 port 2,HZL-COLO-NONPTDNDH1-SWA2,hzl-b1_01 cf006 (HZL-Q1-A3),E1/12,EXTHYPER,10Gb
airstreamq2,X5-2L,1523NM5021,HZL-Q1-A1,Slot 3 port 1,HZL-COLO-NONPTDNDH1-SWA1,HZL-Q1-A1,E1/13,EXTHYPER,10Gb
airstreamq2,X5-2L,1523NM5021,HZL-Q1-A1,Slot 3 port 2,HZL-COLO-NONPTDNDH1-SWA2,hzl-b1_01 cf006 (HZL-Q1-A3),E1/13,EXTHYPER,10Gb
atlasq1,X4-8,1523NM8001,hzl-b1_01 cp006 (HZL-Q1-D3),Slot 12 port 2,HZL-COLO-NONPTDNAGG4-SWA1,HZL-Q1-D1,E1/18,TKR,10Gb
atlasq1,X4-8,1523NM8001,hzl-b1_01 cp006 (HZL-Q1-D3),Slot 10 port 2,HZL-COLO-NONPTDNAGG4-SWA2,hzl-b1_01 cp006 (HZL-Q1-D3),E1/18,TKR,10Gb
atlasq1,X4-8,1523NM8001,hzl-b1_01 cp006 (HZL-Q1-D3),Slot 12 port 1,HZL-COLO-NONPTDNDH4-SWA1,HZL-Q1-D1,E1/29,PROD,10Gb
atlasq1,X4-8,1523NM8001,hzl-b1_01 cp006 (HZL-Q1-D3),Slot 10 port 1,HZL-COLO-NONPTDNDH4-SWA2,hzl-b1_01 cp006 (HZL-Q1-D3),E1/29,PROD,10Gb
aztecserverq1,X3-2L,,HZL-Q1-D2,Slot 3 port 1,HZL-COLO-NONPTDNDH4-SWA1,HZL-Q1-D1,E1/08,PRODHYPER,10Gb
aztecserverq1,X3-2L,,HZL-Q1-D2,Slot 3 port 2,HZL-COLO-NONPTDNDH4-SWA2,hzl-b1_01 cp006 (HZL-Q1-D3),E1/08,PRODHYPER,10Gb
birdieq1,X2-8,,HZL-Q1-C3,EM3.0 port 1,HZL-COLO-NONPTDNAGG3-SWA1,hzl-b1_01 cp011 (HZL-Q1-C2),E1/23,GTDL,10Gb
birdieq1,X2-8,,HZL-Q1-C3,EM2.1 port 2,HZL-COLO-NONPTDNAGG3-SWA1,hzl-b1_01 cp011 (HZL-Q1-C2),E1/24,LOG,10Gb
birdieq1,X2-8,,HZL-Q1-C3,Slot 6 port 2,HZL-COLO-NONPTDNAGG3-SWA1,hzl-b1_01 cp011 (HZL-Q1-C2),E1/29,TPFUN,10Gb
birdieq1,X2-8,,HZL-Q1-C3,EM2.0 port 2,HZL-COLO-NONPTDNAGG3-SWA2,hzl-b1_01 cp009 (HZL-Q1-C4),E1/23,GTDL,10Gb
birdieq1,X2-8,,HZL-Q1-C3,Slot 5 port 2,HZL-COLO-NONPTDNAGG3-SWA2,hzl-b1_01 cp009 (HZL-Q1-C4),E1/24,LOG,10Gb
birdieq1,X2-8,,HZL-Q1-C3,EM3.0 port 2,HZL-COLO-NONPTDNAGG3-SWA2,hzl-b1_01 cp009 (HZL-Q1-C4),E1/29,TPFUN,10Gb
birdieq1,X2-8,,HZL-Q1-C3,Slot 5 port 1,HZL-COLO-NONPTDNAGG3-SWA5,hzl-b1_01 cp011 (HZL-Q1-C2),E1/22,ARBI10,10Gb
birdieq1,X2-8,,HZL-Q1-C3,Slot 6 port 1,HZL-COLO-NONPTDNAGG3-SWA6,HZL-Q1-C3,E1/22,ARBI10,10Gb
birdieq1,X2-8,,HZL-Q1-C3,EM2.0 port 1,HZL-COLO-NONPTDNDH3-SWA1,hzl-b1_01 cp011 (HZL-Q1-C2),E1/18,PROD,10Gb
birdieq1,X2-8,,HZL-Q1-C3,EM2.1 port 1,HZL-COLO-NONPTDNDH3-SWA2,hzl-b1_01 cp009 (HZL-Q1-C4),E1/18,PROD,10Gb
bogeyq1,X2-8,,HZL-Q1-C3,EM3.0 port 1,HZL-COLO-NONPTDNAGG3-SWA1,hzl-b1_01 cp011 (HZL-Q1-C2),E1/14,GTDL,10Gb
bogeyq1,X2-8,,HZL-Q1-C3,EM2.1 port 2,HZL-COLO-NONPTDNAGG3-SWA1,hzl-b1_01 cp011 (HZL-Q1-C2),E1/15,LOG,10Gb
bogeyq1,X2-8,,HZL-Q1-C3,EM2.0 port 2,HZL-COLO-NONPTDNAGG3-SWA2,hzl-b1_01 cp009 (HZL-Q1-C4),E1/14,GTDL,10Gb
bogeyq1,X2-8,,HZL-Q1-C3,Slot 5 port 2,HZL-COLO-NONPTDNAGG3-SWA2,hzl-b1_01 cp009 (HZL-Q1-C4),E1/15,LOG,10Gb
bogeyq1,X2-8,,HZL-Q1-C3,Slot 5 port 1,HZL-COLO-NONPTDNAGG3-SWA5,hzl-b1_01 cp011 (HZL-Q1-C2),E1/13,ARBI10,10Gb
bogeyq1,X2-8,,HZL-Q1-C3,Slot 6 port 2,HZL-COLO-NONPTDNAGG3-SWA5,hzl-b1_01 cp011 (HZL-Q1-C2),E1/14,ETG,10Gb
bogeyq1,X2-8,,HZL-Q1-C3,Slot 6 port 1,HZL-COLO-NONPTDNAGG3-SWA6,HZL-Q1-C3,E1/13,ARBI10,10Gb
bogeyq1,X2-8,,HZL-Q1-C3,EM3.0 port 2,HZL-COLO-NONPTDNAGG3-SWA6,HZL-Q1-C3,E1/14,ETG,10Gb
bogeyq1,X2-8,,HZL-Q1-C3,EM2.0 port 1,HZL-COLO-NONPTDNDH3-SWA1,hzl-b1_01 cp011 (HZL-Q1-C2),E1/11,PROD,10Gb
bogeyq1,X2-8,,HZL-Q1-C3,EM2.1 port 1,HZL-COLO-NONPTDNDH3-SWA2,hzl-b1_01 cp009 (HZL-Q1-C4),E1/11,PROD,10Gb
bookq1,X5-8,1539NMC001,HZL-Q1-B1,Slot 4 port 2,HZL-COLO-NONPTDNAGG2-SWA1,HZL-Q1-B1,E1/13,FEED,10Gb
bookq1,X5-8,1539NMC001,HZL-Q1-B1,Slot 6 port 2,HZL-COLO-NONPTDNAGG2-SWA2,hzl-b1_01 cj008 (HZL-Q1-B3),E1/13,FEED,10Gb
bookq1,X5-8,1539NMC001,HZL-Q1-B1,Slot 2 port 1,HZL-COLO-NONPTDNAGG3-SWA3,HZL-Q1-C1,E1/05,ARBI40,40Gb
bookq1,X5-8,1539NMC001,HZL-Q1-B1,Slot 4 port 1,HZL-COLO-NONPTDNDH2-SWA1,HZL-Q1-B1,E1/10,PRODHYPER,10Gb
bookq1,X5-8,1539NMC001,HZL-Q1-B1,Slot 6 port 1,HZL-COLO-NONPTDNDH2-SWA2,hzl-b1_01 cj008 (HZL-Q1-B3),E1/10,PRODHYPER,10Gb
boxerq1,X4-2L,,HZL-Q1-A1,Slot 3 port 1,HZL-COLO-NONPTDNDH1-SWA1,HZL-Q1-A1,E1/16,BUILD,10Gb
boxerq1,X4-2L,,HZL-Q1-A1,Slot 3 port 2,HZL-COLO-NONPTDNDH1-SWA2,hzl-b1_01 cf006 (HZL-Q1-A3),E1/16,BUILD,10Gb
celtserverq1,X4-2L,,HZL-Q1-D1,Slot 3 port 1,HZL-COLO-NONPTDNDH4-SWA1,HZL-Q1-D1,E1/09,PRODHYPER,10Gb
celtserverq1,X4-2L,,HZL-Q1-D1,Slot 3 port 2,HZL-COLO-NONPTDNDH4-SWA2,hzl-b1_01 cp006 (HZL-Q1-D3),E1/09,PRODHYPER,10Gb
celtstorageq1,X4-2L,,hzl-b1_01 cp006 (HZL-Q1-D3),Slot 3 port 1,HZL-COLO-NONPTDNDH4-SWA1,HZL-Q1-D1,E1/10,PROD,10Gb
celtstorageq1,X4-2L,,hzl-b1_01 cp006 (HZL-Q1-D3),Slot 3 port 2,HZL-COLO-NONPTDNDH4-SWA2,hzl-b1_01 cp006 (HZL-Q1-D3),E1/10,PROD,10Gb
cleekq1,X1-8,,hzl-b1_01 cp009 (HZL-Q1-C4),EM3.0 port 1,HZL-COLO-NONPTDNAGG3-SWA1,hzl-b1_01 cp011 (HZL-Q1-C2),E1/30,GTDL,10Gb
cleekq1,X1-8,,hzl-b1_01 cp009 (HZL-Q1-C4),EM2.1 port 2,HZL-COLO-NONPTDNAGG3-SWA1,hzl-b1_01 cp011 (HZL-Q1-C2),E1/31,LOG,10Gb
cleekq1,X1-8,,hzl-b1_01 cp009 (HZL-Q1-C4),Slot 6 port 2,HZL-COLO-NONPTDNAGG3-SWA1,hzl-b1_01 cp011 (HZL-Q1-C2),E1/32,TPFUN,10Gb
cleekq1,X1-8,,hzl-b1_01 cp009 (HZL-Q1-C4),EM2.0 port 2,HZL-COLO-NONPTDNAGG3-SWA2,hzl-b1_01 cp009 (HZL-Q1-C4),E1/30,GTDL,10Gb
cleekq1,X1-8,,hzl-b1_01 cp009 (HZL-Q1-C4),Slot 5 port 2,HZL-COLO-NONPTDNAGG3-SWA2,hzl-b1_01 cp009 (HZL-Q1-C4),E1/31,LOG,10Gb
cleekq1,X1-8,,hzl-b1_01 cp009 (HZL-Q1-C4),EM3.0 port 2,HZL-COLO-NONPTDNAGG3-SWA2,hzl-b1_01 cp009 (HZL-Q1-C4),E1/32,TPFUN,10Gb
cleekq1,X1-8,,hzl-b1_01 cp009 (HZL-Q1-C4),Slot 5 port 1,HZL-COLO-NONPTDNAGG3-SWA5,hzl-b1_01 cp011 (HZL-Q1-C2),E1/23,ARBI10,10Gb
cleekq1,X1-8,,hzl-b1_01 cp009 (HZL-Q1-C4),Slot 6 port 1,HZL-COLO-NONPTDNAGG3-SWA6,HZL-Q1-C3,E1/23,ARBI10,10Gb
cleekq1,X1-8,,hzl-b1_01 cp009 (HZL-Q1-C4),EM2.0 port 1,HZL-COLO-NONPTDNDH3-SWA1,hzl-b1_01 cp011 (HZL-Q1-C2),E1/19,PROD,10Gb
cleekq1,X1-8,,hzl-b1_01 cp009 (HZL-Q1-C4),EM2.1 port 1,HZL-COLO-NONPTDNDH3-SWA2,hzl-b1_01 cp009 (HZL-Q1-C4),E1/19,PROD,10Gb
divotq1,X4-8,1523NM8002,HZL-Q1-C1,Slot 6 port 1,HZL-COLO-NONPTDNAGG3-SWA1,hzl-b1_01 cp011 (HZL-Q1-C2),E1/33,GTDL,10Gb
divotq1,X4-8,1523NM8002,HZL-Q1-C1,Slot 10 port 2,HZL-COLO-NONPTDNAGG3-SWA1,hzl-b1_01 cp011 (HZL-Q1-C2),E1/34,LOG,10Gb
divotq1,X4-8,1523NM8002,HZL-Q1-C1,Slot 6 port 2,HZL-COLO-NONPTDNAGG3-SWA1,hzl-b1_01 cp011 (HZL-Q1-C2),E1/35,TPFUN,10Gb
divotq1,X4-8,1523NM8002,HZL-Q1-C1,Slot 4 port 1,HZL-COLO-NONPTDNAGG3-SWA2,hzl-b1_01 cp009 (HZL-Q1-C4),E1/33,GTDL,10Gb
divotq1,X4-8,1523NM8002,HZL-Q1-C1,Slot 8 port 2,HZL-COLO-NONPTDNAGG3-SWA2,hzl-b1_01 cp009 (HZL-Q1-C4),E1/34,LOG,10Gb
divotq1,X4-8,1523NM8002,HZL-Q1-C1,Slot 4 port 2,HZL-COLO-NONPTDNAGG3-SWA2,hzl-b1_01 cp009 (HZL-Q1-C4),E1/35,TPFUN,10Gb
divotq1,X4-8,1523NM8002,HZL-Q1-C1,Slot 12 port 1,HZL-COLO-NONPTDNAGG3-SWA3,HZL-Q1-C1,E1/12,ARBI40,40Gb
divotq1,X4-8,1523NM8002,HZL-Q1-C1,Slot 10 port 1,HZL-COLO-NONPTDNDH3-SWA1,hzl-b1_01 cp011 (HZL-Q1-C2),E1/20,PROD,10Gb
divotq1,X4-8,1523NM8002,HZL-Q1-C1,Slot 8 port 1,HZL-COLO-NONPTDNDH3-SWA2,hzl-b1_01 cp009 (HZL-Q1-C4),E1/20,PROD,10Gb
dtpfepcq1a,X2-4,,HZL-Q1-B2,Slot 2 port 1,HZL-COLO-NONPTDNAGG2-SWA1,HZL-Q1-B1,E1/06,FEED,10Gb
dtpfepcq1a,X2-4,,HZL-Q1-B2,Slot 3 port 1,HZL-COLO-NONPTDNAGG2-SWA1,HZL-Q1-B1,E1/05,FEPC,10Gb
dtpfepcq1a,X2-4,,HZL-Q1-B2,Slot 7 port 2,HZL-COLO-NONPTDNAGG2-SWA2,hzl-b1_01 cj008 (HZL-Q1-B3),E1/06,FEED,10Gb
dtpfepcq1a,X2-4,,HZL-Q1-B2,Slot 1 port 1,HZL-COLO-NONPTDNAGG2-SWA2,hzl-b1_01 cj008 (HZL-Q1-B3),E1/05,FEPC,10Gb
dtpfepcq1a,X2-4,,HZL-Q1-B2,Slot 9 port 2,HZL-COLO-NONPTDNAGG2-SWA3,HZL-Q1-B1,E1/05,EXCH,10Gb
dtpfepcq1a,X2-4,,HZL-Q1-B2,Slot 1 port 2,HZL-COLO-NONPTDNAGG2-SWA3,HZL-Q1-B1,E1/06,EXCH,10Gb
dtpfepcq1a,X2-4,,HZL-Q1-B2,Slot 3 port 2,HZL-COLO-NONPTDNAGG2-SWA4,hzl-b1_01 cj008 (HZL-Q1-B3),E1/05,EXCH,10Gb
dtpfepcq1a,X2-4,,HZL-Q1-B2,Slot 2 port 2,HZL-COLO-NONPTDNAGG2-SWA4,hzl-b1_01 cj008 (HZL-Q1-B3),E1/06,EXCH,10Gb
dtpfepcq1a,X2-4,,HZL-Q1-B2,Slot 7 port 1,HZL-COLO-NONPTDNDH2-SWA1,HZL-Q1-B1,E1/05,PRODHYPER,10Gb
dtpfepcq1a,X2-4,,HZL-Q1-B2,Slot 9 port 1,HZL-COLO-NONPTDNDH2-SWA2,hzl-b1_01 cj008 (HZL-Q1-B3),E1/05,PRODHYPER,10Gb
dtpfepcq1n,X2-4,,HZL-Q1-B1,Slot 2 port 1,HZL-COLO-NONPTDNAGG2-SWA1,HZL-Q1-B1,E1/08,FEED,10Gb
dtpfepcq1n,X2-4,,HZL-Q1-B1,Slot 3 port 1,HZL-COLO-NONPTDNAGG2-SWA1,HZL-Q1-B1,E1/07,FEPC,10Gb
dtpfepcq1n,X2-4,,HZL-Q1-B1,Slot 7 port 2,HZL-COLO-NONPTDNAGG2-SWA2,hzl-b1_01 cj008 (HZL-Q1-B3),E1/08,FEED,10Gb
dtpfepcq1n,X2-4,,HZL-Q1-B1,Slot 1 port 1,HZL-COLO-NONPTDNAGG2-SWA2,hzl-b1_01 cj008 (HZL-Q1-B3),E1/07,FEPC,10Gb
dtpfepcq1n,X2-4,,HZL-Q1-B1,Slot 9 port 2,HZL-COLO-NONPTDNAGG2-SWA3,HZL-Q1-B1,E1/07,EXCH,10Gb
dtpfepcq1n,X2-4,,HZL-Q1-B1,Slot 1 port 2,HZL-COLO-NONPTDNAGG2-SWA3,HZL-Q1-B1,E1/08,EXCH,10Gb
dtpfepcq1n,X2-4,,HZL-Q1-B1,Slot 3 port 2,HZL-COLO-NONPTDNAGG2-SWA4,hzl-b1_01 cj008 (HZL-Q1-B3),E1/07,EXCH,10Gb
dtpfepcq1n,X2-4,,HZL-Q1-B1,Slot 2 port 2,HZL-COLO-NONPTDNAGG2-SWA4,hzl-b1_01 cj008 (HZL-Q1-B3),E1/08,EXCH,10Gb
dtpfepcq1n,X2-4,,HZL-Q1-B1,Slot 7 port 1,HZL-COLO-NONPTDNDH2-SWA1,HZL-Q1-B1,E1/06,PRODHYPER,10Gb
dtpfepcq1n,X2-4,,HZL-Q1-B1,Slot 9 port 1,HZL-COLO-NONPTDNDH2-SWA2,hzl-b1_01 cj008 (HZL-Q1-B3),E1/06,PRODHYPER,10Gb
dtpfepcq2a,X2-4,,hzl-b1_01 cj008 (HZL-Q1-B3),Slot 2 port 1,HZL-COLO-NONPTDNAGG2-SWA1,HZL-Q1-B1,E1/10,FEED,10Gb
dtpfepcq2a,X2-4,,hzl-b1_01 cj008 (HZL-Q1-B3),Slot 3 port 1,HZL-COLO-NONPTDNAGG2-SWA1,HZL-Q1-B1,E1/09,FEPC,10Gb
dtpfepcq2a,X2-4,,hzl-b1_01 cj008 (HZL-Q1-B3),Slot 7 port 2,HZL-COLO-NONPTDNAGG2-SWA2,hzl-b1_01 cj008 (HZL-Q1-B3),E1/10,FEED,10Gb
dtpfepcq2a,X2-4,,hzl-b1_01 cj008 (HZL-Q1-B3),Slot 1 port 1,HZL-COLO-NONPTDNAGG2-SWA2,hzl-b1_01 cj008 (HZL-Q1-B3),E1/09,FEPC,10Gb
dtpfepcq2a,X2-4,,hzl-b1_01 cj008 (HZL-Q1-B3),Slot 9 port 2,HZL-COLO-NONPTDNAGG2-SWA3,HZL-Q1-B1,E1/09,EXCH,10Gb
dtpfepcq2a,X2-4,,hzl-b1_01 cj008 (HZL-Q1-B3),Slot 1 port 2,HZL-COLO-NONPTDNAGG2-SWA3,HZL-Q1-B1,E1/10,EXCH,10Gb
dtpfepcq2a,X2-4,,hzl-b1_01 cj008 (HZL-Q1-B3),Slot 3 port 2,HZL-COLO-NONPTDNAGG2-SWA4,hzl-b1_01 cj008 (HZL-Q1-B3),E1/09,EXCH,10Gb
dtpfepcq2a,X2-4,,hzl-b1_01 cj008 (HZL-Q1-B3),Slot 2 port 2,HZL-COLO-NONPTDNAGG2-SWA4,hzl-b1_01 cj008 (HZL-Q1-B3),E1/10,EXCH,10Gb
dtpfepcq2a,X2-4,,hzl-b1_01 cj008 (HZL-Q1-B3),Slot 7 port 1,HZL-COLO-NONPTDNDH2-SWA1,HZL-Q1-B1,E1/07,PRODHYPER,10Gb
dtpfepcq2a,X2-4,,hzl-b1_01 cj008 (HZL-Q1-B3),Slot 9 port 1,HZL-COLO-NONPTDNDH2-SWA2,hzl-b1_01 cj008 (HZL-Q1-B3),E1/07,PRODHYPER,10Gb
dtpfepcq2n,X2-4,,HZL-Q1-B2,Slot 2 port 1,HZL-COLO-NONPTDNAGG2-SWA1,HZL-Q1-B1,E1/12,FEED,10Gb
dtpfepcq2n,X2-4,,HZL-Q1-B2,Slot 3 port 1,HZL-COLO-NONPTDNAGG2-SWA1,HZL-Q1-B1,E1/11,FEPC,10Gb
dtpfepcq2n,X2-4,,HZL-Q1-B2,Slot 7 port 2,HZL-COLO-NONPTDNAGG2-SWA2,hzl-b1_01 cj008 (HZL-Q1-B3),E1/12,FEED,10Gb
dtpfepcq2n,X2-4,,HZL-Q1-B2,Slot 1 port 1,HZL-COLO-NONPTDNAGG2-SWA2,hzl-b1_01 cj008 (HZL-Q1-B3),E1/11,FEPC,10Gb
dtpfepcq2n,X2-4,,HZL-Q1-B2,Slot 9 port 2,HZL-COLO-NONPTDNAGG2-SWA3,HZL-Q1-B1,E1/11,EXCH,10Gb
dtpfepcq2n,X2-4,,HZL-Q1-B2,Slot 1 port 2,HZL-COLO-NONPTDNAGG2-SWA3,HZL-Q1-B1,E1/12,EXCH,10Gb
dtpfepcq2n,X2-4,,HZL-Q1-B2,Slot 3 port 2,HZL-COLO-NONPTDNAGG2-SWA4,hzl-b1_01 cj008 (HZL-Q1-B3),E1/11,EXCH,10Gb
dtpfepcq2n,X2-4,,HZL-Q1-B2,Slot 2 port 2,HZL-COLO-NONPTDNAGG2-SWA4,hzl-b1_01 cj008 (HZL-Q1-B3),E1/12,EXCH,10Gb
dtpfepcq2n,X2-4,,HZL-Q1-B2,Slot 7 port 1,HZL-COLO-NONPTDNDH2-SWA1,HZL-Q1-B1,E1/08,PRODHYPER,10Gb
dtpfepcq2n,X2-4,,HZL-Q1-B2,Slot 9 port 1,HZL-COLO-NONPTDNDH2-SWA2,hzl-b1_01 cj008 (HZL-Q1-B3),E1/08,PRODHYPER,10Gb
dtpq1b,X4640,,hzl-b1_01 cj008 (HZL-Q1-B3),Slot 3 port 2,HZL-COLO-NONPTDNAGG2-SWA1,HZL-Q1-B1,E1/14,FEPC,10Gb
dtpq1b,X4640,,hzl-b1_01 cj008 (HZL-Q1-B3),Slot 6 port 2,HZL-COLO-NONPTDNAGG2-SWA2,hzl-b1_01 cj008 (HZL-Q1-B3),E1/14,FEPC,10Gb
dtpq1b,X4640,,hzl-b1_01 cj008 (HZL-Q1-B3),Slot 3 port 1,HZL-COLO-NONPTDNDH2-SWA1,HZL-Q1-B1,E1/11,PROD,10Gb
dtpq1b,X4640,,hzl-b1_01 cj008 (HZL-Q1-B3),Slot 6 port 1,HZL-COLO-NONPTDNDH2-SWA2,hzl-b1_01 cj008 (HZL-Q1-B3),E1/11,PROD,10Gb
eagleq1,X4-4,1523NM900C,hzl-b1_01 cp011 (HZL-Q1-C2),Slot 4 port 1,HZL-COLO-NONPTDNAGG3-SWA1,hzl-b1_01 cp011 (HZL-Q1-C2),E1/10,GTDL,10Gb
eagleq1,X4-4,1523NM900C,hzl-b1_01 cp011 (HZL-Q1-C2),Slot 9 port 2,HZL-COLO-NONPTDNAGG3-SWA1,hzl-b1_01 cp011 (HZL-Q1-C2),E1/11,LOG,10Gb
eagleq1,X4-4,1523NM900C,hzl-b1_01 cp011 (HZL-Q1-C2),Slot 6 port 1,HZL-COLO-NONPTDNAGG3-SWA2,hzl-b1_01 cp009 (HZL-Q1-C4),E1/10,GTDL,10Gb
eagleq1,X4-4,1523NM900C,hzl-b1_01 cp011 (HZL-Q1-C2),Slot 11 port 2,HZL-COLO-NONPTDNAGG3-SWA2,hzl-b1_01 cp009 (HZL-Q1-C4),E1/11,LOG,10Gb
eagleq1,X4-4,1523NM900C,hzl-b1_01 cp011 (HZL-Q1-C2),Slot 7 port 1,HZL-COLO-NONPTDNAGG3-SWA3,HZL-Q1-C1,E1/06,ARBI40,40Gb
eagleq1,X4-4,1523NM900C,hzl-b1_01 cp011 (HZL-Q1-C2),Slot 1 port 1,HZL-COLO-NONPTDNAGG3-SWA5,hzl-b1_01 cp011 (HZL-Q1-C2),E1/05,ARBI10,10Gb
eagleq1,X4-4,1523NM900C,hzl-b1_01 cp011 (HZL-Q1-C2),Slot 1 port 2,HZL-COLO-NONPTDNAGG3-SWA5,hzl-b1_01 cp011 (HZL-Q1-C2),E1/06,ETG,10Gb
eagleq1,X4-4,1523NM900C,hzl-b1_01 cp011 (HZL-Q1-C2),Slot 4 port 2,HZL-COLO-NONPTDNAGG3-SWA5,hzl-b1_01 cp011 (HZL-Q1-C2),E1/07,ETG,10Gb
eagleq1,X4-4,1523NM900C,hzl-b1_01 cp011 (HZL-Q1-C2),Slot 2 port 1,HZL-COLO-NONPTDNAGG3-SWA6,HZL-Q1-C3,E1/05,ARBI10,10Gb
eagleq1,X4-4,1523NM900C,hzl-b1_01 cp011 (HZL-Q1-C2),Slot 2 port 2,HZL-COLO-NONPTDNAGG3-SWA6,HZL-Q1-C3,E1/06,ETG,10Gb
eagleq1,X4-4,1523NM900C,hzl-b1_01 cp011 (HZL-Q1-C2),Slot 6 port 2,HZL-COLO-NONPTDNAGG3-SWA6,HZL-Q1-C3,E1/07,ETG,10Gb
eagleq1,X4-4,1523NM900C,hzl-b1_01 cp011 (HZL-Q1-C2),Slot 9 port 1,HZL-COLO-NONPTDNDH3-SWA1,hzl-b1_01 cp011 (HZL-Q1-C2),E1/08,PROD,10Gb
eagleq1,X4-4,1523NM900C,hzl-b1_01 cp011 (HZL-Q1-C2),Slot 11 port 1,HZL-COLO-NONPTDNDH3-SWA2,hzl-b1_01 cp009 (HZL-Q1-C4),E1/08,PROD,10Gb
eagleq2,X4-4,1523NM900C,HZL-Q1-C1,Slot 4 port 1,HZL-COLO-NONPTDNAGG3-SWA1,hzl-b1_01 cp011 (HZL-Q1-C2),E1/12,GTDL,10Gb
